split,chemical_system,cation,anion,refrigerant,n_state_points,mode,system_mae,system_rmse
B2,[bmim]__[PF6]__R23,[bmim],[PF6],R23,34,M0,0.046694034381139594,0.06546143416410763
B2,[bmim]__[PF6]__R23,[bmim],[PF6],R23,34,Mthermo,0.045554850534672904,0.05762900810907384
B2,[bmim]__[PF6]__R23,[bmim],[PF6],R23,34,Mreduced,0.048601229866172234,0.060294092100211895
B2,[bmim]__[PF6]__R32,[bmim],[PF6],R32,38,M0,0.044313538885724396,0.06516411458470474
B2,[bmim]__[PF6]__R32,[bmim],[PF6],R32,38,Mthermo,0.046844082455591934,0.06864396546080792
B2,[bmim]__[PF6]__R32,[bmim],[PF6],R32,38,Mreduced,0.03770803007493286,0.05850599606897528
B2,[bmim]__[PF6]__R41,[bmim],[PF6],R41,34,M0,0.030900454833446188,0.04380940756869148
B2,[bmim]__[PF6]__R41,[bmim],[PF6],R41,34,Mthermo,0.04309013327857589,0.05881023882439306
B2,[bmim]__[PF6]__R41,[bmim],[PF6],R41,34,Mreduced,0.0376052725375356,0.04932646325745885
B2,[emim]__[BF4]__R125,[emim],[BF4],R125,25,M0,0.08259133116900923,0.0963907328757253
B2,[emim]__[BF4]__R125,[emim],[BF4],R125,25,Mthermo,0.08252119804918769,0.09807356840285002
B2,[emim]__[BF4]__R125,[emim],[BF4],R125,25,Mreduced,0.07306546620279553,0.08728455828806446
B2,[emim]__[BF4]__R134a,[emim],[BF4],R134a,36,M0,0.027766468308659066,0.03269548008509192
B2,[emim]__[BF4]__R134a,[emim],[BF4],R134a,36,Mthermo,0.018612677065862542,0.024556927433974043
B2,[emim]__[BF4]__R134a,[emim],[BF4],R134a,36,Mreduced,0.019445361186646744,0.02556418037198612
B2,[emim]__[BF4]__R32,[emim],[BF4],R32,32,M0,0.02822203143150544,0.03643897296554533
B2,[emim]__[BF4]__R32,[emim],[BF4],R32,32,Mthermo,0.026053294213488697,0.0342266967279483
B2,[emim]__[BF4]__R32,[emim],[BF4],R32,32,Mreduced,0.023869163438212125,0.029764730889681096
B2,[emim]__[PF6]__R23,[emim],[PF6],R23,17,M0,0.06591127305702471,0.09294335148842743
B2,[emim]__[PF6]__R23,[emim],[PF6],R23,17,Mthermo,0.0615816035431207,0.08005895547750552
B2,[emim]__[PF6]__R23,[emim],[PF6],R23,17,Mreduced,0.06121379750205531,0.07881209405735977
B2,[hmim]__[BF4]__R125,[hmim],[BF4],R125,5,M0,0.031704576313495623,0.03171586508199352
B2,[hmim]__[BF4]__R125,[hmim],[BF4],R125,5,Mthermo,0.026709823608398436,0.02690137131156911
B2,[hmim]__[BF4]__R125,[hmim],[BF4],R125,5,Mreduced,0.023965035378932957,0.024104531232422396
