case_id,sample_id,seed,y_target,y_base,graph_output_sensitivity,global_node_sensitivity_L1,global_node_sensitivity_L2,global_node_sensitivity_L3,node_attribution_norm,edge_attribution_norm,graph_active_flag,graph_activity_reason,specific_smarts_coverage,other_atom_fraction,top_group_name,top_group_component,delta_y_top,delta_y_rand_comp,r_faith_component_matched,r_faith_global_matched,faithfulness_zero_denominator,faithfulness_valid
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,43,0.002040404826402664,0.002040404826402664,0.0,3.827325656402536e-08,0.0,0.0,6.953955190406018e-17,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,44,0.019644100219011307,0.019644100219011307,0.0,1.0956589413524398e-08,0.0,0.0,1.2454932903616673e-17,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,45,0.002433616667985916,0.002433616667985916,0.0,9.053768508238136e-07,3.188165009770927e-10,0.0,1.2496502692626573e-15,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,46,0.014861322939395905,0.014861322939395905,0.0,1.0675682460714597e-05,7.825738279620964e-09,0.0,4.3399754708460937e-13,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,42,0.01624434068799019,0.01624434068799019,0.0,1.9199706269290573e-09,0.0,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,43,0.009758684784173965,0.009758684784173965,0.0,3.826679417784362e-08,2.3283064365386963e-10,0.0,2.7829579006013543e-17,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,PF6_Core,Anion,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,44,0.025568991899490356,0.025568991899490356,0.0,1.0884650514242367e-08,0.0,0.0,5.45670280113039e-19,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,45,0.009177986532449722,0.009177986532449722,0.0,8.589759090682492e-07,2.1779313075231954e-10,0.0,1.7119645410995864e-15,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,46,0.02282605692744255,0.02282605692744255,0.0,1.061862440110417e-05,1.607048050189519e-09,0.0,5.045809444573289e-13,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,42,0.0612952820956707,0.0612952820956707,0.0,1.9199706269290573e-09,0.0,0.0,0.0,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Imidazolium_Ring,Cation,0.0,0.0,0.0,0.0,True,False
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,43,0.0558570995926857,0.0558570995926857,0.0,3.827325656402536e-08,0.0,0.0,5.358623515101247e-17,0.0,False,Readout Collapsed (|Δy_graph| < 1e-3),100.0,0.0,Alkyl_Chain,Cation,0.0,0.0,0.0,0.0,True,False
