sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet
[emim]__[BEI]__R134__283.149__0.15,64,64,[emim],[BEI],R134,283.149,0.15,0.584,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__283.123__0.2,65,65,[emim],[BEI],R134,283.123,0.2,0.708,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__283.149__0.25,66,66,[emim],[BEI],R134,283.149,0.25,0.823,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__283.192__0.3,67,67,[emim],[BEI],R134,283.19199999999995,0.3,0.98,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.212__0.01,68,68,[emim],[BEI],R134,298.212,0.01,0.038,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.154__0.05,69,69,[emim],[BEI],R134,298.154,0.05,0.169,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.154__0.1,70,70,[emim],[BEI],R134,298.154,0.1,0.305,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.187__0.15,71,71,[emim],[BEI],R134,298.18699999999995,0.15,0.417,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.128__0.2,72,72,[emim],[BEI],R134,298.128,0.2,0.518,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.145__0.25,73,73,[emim],[BEI],R134,298.145,0.25,0.606,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.229__0.3,74,74,[emim],[BEI],R134,298.229,0.3,0.677,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__298.103__0.35,75,75,[emim],[BEI],R134,298.10299999999995,0.35,0.735,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.148__0.011,76,76,[emim],[BEI],R134,323.148,0.011,0.019,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.173__0.05,77,77,[emim],[BEI],R134,323.173,0.05,0.086,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.148__0.1,78,78,[emim],[BEI],R134,323.148,0.1,0.162,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.14__0.15,79,79,[emim],[BEI],R134,323.14,0.15,0.232,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.14__0.2,80,80,[emim],[BEI],R134,323.14,0.2,0.295,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.132__0.25,81,81,[emim],[BEI],R134,323.13199999999995,0.25,0.355,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.132__0.3,82,82,[emim],[BEI],R134,323.13199999999995,0.3,0.407,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__323.148__0.349,83,83,[emim],[BEI],R134,323.148,0.349,0.46,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.164__0.011,84,84,[emim],[BEI],R134,348.164,0.011,0.01,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.148__0.05,85,85,[emim],[BEI],R134,348.148,0.05,0.048,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.132__0.1,86,86,[emim],[BEI],R134,348.13199999999995,0.1,0.094,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.123__0.15,87,87,[emim],[BEI],R134,348.123,0.15,0.136,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.156__0.2,88,88,[emim],[BEI],R134,348.15599999999995,0.2,0.176,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.156__0.25,89,89,[emim],[BEI],R134,348.15599999999995,0.25,0.215,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.164__0.3,90,90,[emim],[BEI],R134,348.164,0.3,0.283,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134__348.14__0.35,91,91,[emim],[BEI],R134,348.14,0.35,0.371,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134a__283.1__0.0103,92,92,[emim],[BEI],R134a,283.1,0.0103,0.03,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134a__283.15__0.0504,93,93,[emim],[BEI],R134a,283.15,0.0504,0.1369999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134a__283.1__0.1003,94,94,[emim],[BEI],R134a,283.1,0.1003,0.258,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134a__283.15__0.1502,95,95,[emim],[BEI],R134a,283.15,0.1502,0.368,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134a__283.15__0.2001,96,96,[emim],[BEI],R134a,283.15,0.2001,0.473,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134a__283.1__0.2501,97,97,[emim],[BEI],R134a,283.1,0.2501,0.575,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
[emim]__[BEI]__R134a__283.1__0.3004,98,98,[emim],[BEI],R134a,283.1,0.3004,0.6729999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs
