sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,ens_ae_v6,ens_ae_v7,delta_ae,abs_err_v7,pred_v7,pred_v6
[emim]__[PF6]__R23__347.9__0.69933,343,343,[emim],[PF6],R23,347.9,0.69933,0.04,F[P-](F)(F)(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.0023014171421527826,0.0035304800000000025,-0.0012290628578472199,0.0035304800000000025,0.04353048,0.042301417142152783
[emim]__[PFBS]__R32__303.15__0.2709,353,353,[emim],[PFBS],R32,303.15,0.2709,0.1983,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.006412292551994325,0.006736671999999999,-0.00032437944800567386,0.006736671999999999,0.205036672,0.20471229255199433
[emim]__[PFBS]__R134a__303.15__0.3134,367,367,[emim],[PFBS],R134a,303.15,0.3134,0.329,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.019544895648956284,0.02209636599999998,-0.0025514703510436942,0.02209636599999998,0.351096366,0.3485448956489563
[emim]__[PFBS]__R125__303.15__0.2241,375,375,[emim],[PFBS],R125,303.15,0.2241,0.1606,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.023261081552505475,0.020516543999999998,0.002744537552505477,0.020516543999999998,0.140083456,0.13733891844749452
[emim]__[PFP]__R32__303.15__0.0402,381,381,[emim],[PFP],R32,303.15,0.0402,0.0315,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.006636715441942213,0.0090755722,-0.0024388567580577863,0.0090755722,0.0405755722,0.038136715441942214
[emim]__[PFP]__R134a__303.15__0.0852,390,390,[emim],[PFP],R134a,303.15,0.0852,0.1045,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.018344689726829524,0.0110757888,0.007268900926829525,0.0110757888,0.0934242112,0.08615531027317047
[emim]__[PFP]__R125__303.15__0.0245,399,399,[emim],[PFP],R125,303.15,0.0245,0.0266,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.002054870018362999,0.013414493399999998,-0.011359623381636999,0.013414493399999998,0.0400144934,0.028654870018362998
[emim]__[SCN]__R32__293.15__0.073,412,412,[emim],[SCN],R32,293.15,0.073,0.0223,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.012525188666582109,0.001942599199999999,0.01058258946658211,0.001942599199999999,0.0242425992,0.03482518866658211
[emim]__[SCN]__R32__303.15__0.2303,419,419,[emim],[SCN],R32,303.15,0.2303,0.0557,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.02509464286565781,0.004394161600000009,0.0207004812656578,0.004394161600000009,0.06009416160000001,0.08079464286565781
[emim]__[SCN]__R134a__303.15__0.0683,439,439,[emim],[SCN],R134a,303.15,0.0683,0.0102,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.017131462875008583,0.007841170259999999,0.009290292615008584,0.007841170259999999,0.01804117026,0.027331462875008584
[emim]__[SCN]__R134a__303.15__0.1513,440,440,[emim],[SCN],R134a,303.15,0.1513,0.0228,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.025888506335020066,0.005662528600000001,0.020225977735020065,0.005662528600000001,0.028462528600000002,0.04868850633502007
