model_family,seed,case_id,sample_id,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g_atom,P_g_graph
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Refri,CH2F,Refri:CH2F,2,-0.027604496106505394,0.35799938440322876,0.17899969220161438,0.3654535208127624,0.3628059560772766
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-0.020058006048202515,0.043578580021858215,0.008715716004371644,0.12362104519549523,0.12292026573232229
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-0.00802742037922144,0.011293846182525158,0.0037646153941750526,0.032037690733856566,0.03185607638430736
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Anion,CF3,Anion:CF3,8,0.026803379878401756,0.05950867384672165,0.007438584230840206,0.1688105591196332,0.1678536106258658
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.02117571420967579,0.07812121510505676,0.01302020251750946,0.22160947553557822,0.22035322204690833
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.018730351701378822,0.022619329392910004,0.022619329392910004,0.06416512744954485,0.0638013900009785
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.01132059283554554,0.026130421087145805,0.013065210543572903,0.07412517719877813,0.07370497850362222
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Anion,Unclassified,Anion:Unclassified,4,0.008367393165826797,0.015299361199140549,0.003824840299785137,0.04340029026444889,0.0431542639340213
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Refri,CHF2,Refri:CHF2,6,-0.04364411532878876,0.09596608579158783,0.015994347631931305,0.27223071111831026,0.27068749740987585
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.05041428282856941,0.10844536125659943,0.021689072251319885,0.08262515722025149,0.08203097564735475
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.022092781960964203,0.031627245247364044,0.010542415082454681,0.02409698377806713,0.023923695348670834
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Anion,CF3,Anion:CF3,8,0.079393669962883,0.14072856307029724,0.017591070383787155,0.10722191815609619,0.10645085411068483
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.05684133246541023,0.19174495339393616,0.03195749223232269,0.14609160536499802,0.14504101807677788
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.03914681449532509,0.05242789164185524,0.05242789164185524,0.0399451183475216,0.03965786136613991
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.03328967094421387,0.061797045171260834,0.030898522585630417,0.04708353141026293,0.04674494002124677
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Anion,Unclassified,Anion:Unclassified,4,0.02134023979306221,0.034262023866176605,0.008565505966544151,0.026104437071572544,0.02591671246080509
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Refri,CF3,Refri:CF3,4,-0.14489558339118958,0.2166139781475067,0.05415349453687668,0.16503946128403624,0.16385261444470886
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Refri,CH2F,Refri:CH2F,2,-0.03446374833583832,0.4748510718345642,0.2374255359172821,0.36179181858871984,0.35919006823734456
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-0.015467533841729164,0.03384190797805786,0.006768381595611573,0.08776666498173863,0.08729449537922854
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-0.006002604030072689,0.008405957370996475,0.0028019857903321586,0.021800273344793935,0.02168299161371797
