sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,refrigerant_species_id,refrigerant_inchikey,refrigerant_formula
[emim]__[BEI]__R32__298.15__0.3996__#40,40,40,[emim],[BEI],R32,298.15,0.3996,0.349,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__298.15__0.5493__#41,41,41,[emim],[BEI],R32,298.15,0.5493,0.445,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__298.15__0.6993__#42,42,42,[emim],[BEI],R32,298.15,0.6993,0.529,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__298.15__0.8503__#43,43,43,[emim],[BEI],R32,298.15,0.8503,0.603,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__298.15__1.0005__#44,44,44,[emim],[BEI],R32,298.15,1.0005,0.672,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__323.15__0.01__#45,45,45,[emim],[BEI],R32,323.15,0.01,0.004,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__323.15__0.0997__#46,46,46,[emim],[BEI],R32,323.15,0.0997,0.059,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__323.15__0.2497__#47,47,47,[emim],[BEI],R32,323.15,0.2497,0.146,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__323.15__0.3996__#48,48,48,[emim],[BEI],R32,323.15,0.3996,0.221,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__323.15__0.5495__#49,49,49,[emim],[BEI],R32,323.15,0.5495,0.288,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__323.15__0.6995__#50,50,50,[emim],[BEI],R32,323.15,0.6995,0.348,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__323.15__0.8504__#51,51,51,[emim],[BEI],R32,323.15,0.8504,0.4029999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
