case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,46,Anion,BF4_Core,Anion:BF4_Core,5,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,46,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,46,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,5
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,42,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,42,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.0,0.0,0.0,0.0,2
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,42,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,42,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,42,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,5
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,42,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,6
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,43,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,-3.0902000403010277e-10,3.96377847211582e-10,7.927556944231639e-11,0.269412844890731,1
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,43,Refri,CF3,Refri:CF3,4,-2.556055714308947e-10,3.21814436210488e-10,8.0453609052622e-11,0.2187330684504532,2
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,43,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-1.0741814816112027e-10,2.57236204559419e-10,5.1447240911883795e-11,0.17484008797861522,3
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,43,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,-1.4938360270999596e-10,2.1004633796173344e-10,7.001544598724448e-11,0.14276575209043882,4
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,43,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,-1.387387166956744e-10,2.08423514558298e-10,6.9474504852766e-11,0.14166274022196418,5
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,43,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,-5.991034057739597e-11,7.63672458603537e-11,7.63672458603537e-11,0.05190581943073487,6
