case_id,sample_id,seed,top_group_name,top_group_component,top_k_atoms,delta_y_top,delta_y_rand_mean,delta_y_rand_comp_mean,delta_y_rand_glob_mean,r_faith,r_faith_comp,r_faith_glob,y_orig,y_base,comp_rel_err
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,45,Refri:CHF2,Refri,6,0.006269097328186035,0.006269097328186035,0.006269097328186035,0.0045397361119588215,1.0,1.0,1.38093870955883,0.4185633659362793,0.4056890606880188,0.07761392046112178
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41391506791114807,0.41391506791114807,8.335261218270751e-13
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,42,Anion:CF3,Anion,8,2.9802322387695312e-08,4.967053731282552e-09,4.967053731282552e-09,9.934107462565104e-10,2.9802322387695312,2.9802322387695312,2.9802322387695312,0.27431434392929077,0.27431440353393555,0.021671297645298182
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,43,Anion:CF3,Anion,8,2.9802322387695312e-08,2.284844716389974e-08,2.284844716389974e-08,2.7815500895182292e-08,1.3043478260869565,1.3043478260869565,1.0714285714285714,0.2548636198043823,0.25486353039741516,0.011685820311413408
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24371862411499023,0.24371862411499023,0.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,45,Refri:CH2F,Refri,2,0.13706115633249283,0.00021382719278335572,0.00021382719278335572,0.0001491561532020569,640.990299448769,640.990299448769,918.9105068083958,0.2381274551153183,0.1028212234377861,0.011058398404977484
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23960912227630615,0.23960912227630615,7.205051260115047e-13
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,42,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5826584696769714,0.5826585292816162,0.008914618376820727
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,43,Anion:CF3,Anion,8,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,1.0,1.0,1.0,0.5370712280273438,0.5370711088180542,0.02735707482770522
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5793797373771667,0.5793797373771667,0.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,45,Refri:CHF2,Refri,6,0.009280383586883545,0.00928037166595459,0.00928037166595459,0.005607761939366658,1.000001284531416,1.000001284531416,1.654917538801883,0.5633625388145447,0.5460289120674133,0.07905043241291565
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5679516792297363,0.5679516792297363,7.189584533623954e-13
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,42,Anion:CF3,Anion,8,2.9802322387695312e-08,4.3710072835286455e-08,4.3710072835286455e-08,2.8808911641438802e-08,0.6818181818181819,0.6818181818181819,1.0344827586206897,0.3686395585536957,0.36863967776298523,0.030156670050018874
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,43,Anion:CF3,Anion,8,0.0,9.934107462565104e-10,9.934107462565104e-10,0.0,0.0,0.0,0.0,0.3470169007778168,0.347016841173172,0.016215267351071816
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,44,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35981884598731995,0.35981884598731995,0.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,45,Refri:CH2F,Refri,2,0.1837587058544159,0.0005995213985443115,0.0005995213985443115,0.00037445425987243653,306.5090025153356,306.5090025153356,490.7373891727552,0.3509299159049988,0.16967245936393738,0.0059316102243492305
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,46,Anion:CF3,Anion,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3552933931350708,0.3552933931350708,7.349189549803944e-13
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,42,Cation:Imidazolium_Ring,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010375238955020905,0.010375238955020905,0.0
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,43,Cation:Alkyl_Chain,Cation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002040404826402664,0.002040404826402664,6.666432521533082e-11
