sample_id,split,mode,anion,refrigerant,true_x1,pred_x1,abs_error,IG_T,IG_P,IG_ref_charge,IG_ref_logp,IG_ani_mw,IG_cat_charge,IG_cat_tpsa,IG_ref_MW,IG_cat_MW,group_abs_thermo_state,group_share_thermo_state,group_abs_ref_physical,group_share_ref_physical,group_abs_anion_physical,group_share_anion_physical,group_abs_cation_physical,group_share_cation_physical,IG_Tr,IG_Pr,IG_omega,group_abs_reduced_priors,group_share_reduced_priors
[emim]__[BF4]__R125__313.15__0.538,B2,Mreduced,BF4,R125,0.07209999859333038,0.21000447273254394,0.13790447413921356,-0.0013539398787543178,0.05538250878453255,-0.09465770423412323,-0.06464061141014099,-0.0646817684173584,-0.008991765789687634,-0.005865070037543774,0.056509166955947876,-0.05968087166547775,0.05673644691705704,0.10584924682942796,0.2158074826002121,0.40261702546833045,0.0646817684173584,0.12067228109264198,0.07453770935535431,0.13905982528636476,-0.0683741569519043,0.04789121076464653,0.007983053103089333,0.12424842268228531,0.23180164912143034
[emim]__[BF4]__R125__333.15__0.586,B2,Mreduced,BF4,R125,0.04650000110268593,0.1437271147966385,0.09722711369395257,-0.03290010616183281,0.04786085709929466,-0.07383914291858673,-0.054820168763399124,-0.05370452255010605,-0.00647961487993598,-0.0037623154930770397,0.029378587380051613,-0.052494846284389496,0.08076096326112747,0.160978462094163,0.15803790092468262,0.3150123180327449,0.05370452255010605,0.10704765147072709,0.06273677945137024,0.1250513845429,-0.10616954416036606,0.03233565762639046,0.007942655123770237,0.14644786715507507,0.29191024326156795
[emim]__[BF4]__R125__353.15__0.536,B2,Mreduced,BF4,R125,0.032099999487400055,0.0928607240319252,0.06076072454452515,-0.04403981566429138,0.0344071164727211,-0.06354294717311859,-0.046596430242061615,-0.05333894491195679,-0.005001117940992117,-0.0033350512385368347,0.016159849241375923,-0.04682007059454918,0.07844693213701248,0.16372200981336701,0.12629923224449158,0.2635917502145018,0.05333894491195679,0.11132059628613292,0.05515623837709427,0.1151133633252996,-0.1352052241563797,0.024525810033082962,0.00617474690079689,0.16590577363967896,0.3462522492592685
[emim]__[PF6]__R23__332.9__0.04997,B2,Mreduced,PF6,R23,0.003000000026077032,-0.008718401938676835,0.011718401964753867,-0.00910010002553463,-0.08227835595607758,-0.0167678315192461,0.01477578841149807,-0.03204730898141861,-0.0030891685746610165,-0.004122550133615732,-0.01352530438452959,-0.02228754386305809,0.09137845784425735,0.20491719711207573,0.04506892338395119,0.10106755656173026,0.03204730898141861,0.07186644299304791,0.02949926257133484,0.06615242088341929,-0.1567414253950119,-0.06681986153125763,-0.02437346614897251,0.2479347586631775,0.5559964242175067
[emim]__[PF6]__R23__347.9__0.40035,B2,Mreduced,PF6,R23,0.024000000208616257,0.043229509890079496,0.01922950968146324,-0.013714814558625221,0.012705883011221886,-0.018968895077705383,0.014998147264122963,-0.03372446075081825,-0.00470338249579072,-0.0038012166041880846,-0.011865237727761269,-0.03205757960677147,0.026420697569847107,0.06143069606009633,0.045832276344299316,0.1065645080114093,0.03372446075081825,0.0784126570730113,0.04056217893958092,0.0943110180715435,-0.24471573531627655,0.005112091079354286,-0.03372206166386604,0.2835499048233032,0.6592811554282662
[bmim]__[BF4]__R32__283.2__0.3995,B2,Mreduced,BF4,R32,0.37400001287460327,0.2653507590293884,0.10864925384521484,0.0840839222073555,0.027942299842834473,0.05866588279604912,0.03655166178941727,-0.2517077624797821,-0.00881778635084629,-0.0019087654072791338,-0.1394711583852768,-0.031506944447755814,0.11202622205018997,0.15060620079955797,0.23468869924545288,0.3155116071674025,0.2517077624797821,0.3383917544041933,0.04223349690437317,0.05677801499364897,0.09055253118276596,-0.003265727311372757,-0.009360994212329388,0.10317925363779068,0.13871248273247713
[bmim]__[BF4]__R32__298.2__0.6996,B2,Mreduced,BF4,R32,0.43799999356269836,0.3314454793930054,0.10655451416969297,0.027062976732850075,0.1009431853890419,0.07042990624904633,0.02530558407306671,-0.21885856986045837,-0.007209082134068012,0.001143738511018455,-0.12117016315460205,-0.03041265532374382,0.12800616025924683,0.18365880031636084,0.2169056534767151,0.31120871072681117,0.21885856986045837,0.31401068743972915,0.038765475153923035,0.05561935961553769,0.027515579015016556,0.05496790260076523,-0.011958779767155647,0.09444226324558258,0.1355024846594652
[bmim]__[BF4]__R32__323.1__0.6995,B2,Mreduced,BF4,R32,0.2549999952316284,0.21957463920116424,0.03542535603046418,8.227433863794431e-05,0.07043231278657913,0.05912966653704643,0.015936339274048805,-0.17986245453357697,-0.002766186138615012,0.0028374777175486088,-0.07020249217748642,-0.03151865303516388,0.07051458954811096,0.12682415004833444,0.1452684998512268,0.2612729385577483,0.17986245453357697,0.3234919619898601,0.03712231665849686,0.06676641370544735,-0.07664545625448227,0.03286856412887573,-0.01372096873819828,0.12323498725891113,0.22164452229655532
[bmim]__[BF4]__R32__348.1__0.8496,B2,Mreduced,BF4,R32,0.21400000154972076,0.20674286484718324,0.0072571367025375255,0.017899615690112114,0.08134955912828445,0.057977788150310516,0.013332312926650047,-0.1509496420621872,-0.0015224384842440486,0.0027136742137372494,-0.0487978458404541,-0.03235030919313431,0.09924917668104172,0.15940843466791352,0.12010794878005981,0.19291061897403652,0.1509496420621872,0.2424468087241219,0.036586422473192215,0.05876305004819844,-0.16843867301940918,0.03522498160600662,-0.01205245591700077,0.21571610867977142,0.34647105766736674
[bmim]__[BF4]__R125__298.15__0.05,B2,Mreduced,BF4,R125,0.00800000037997961,0.033683180809020996,0.025683180429041386,0.02528093196451664,-0.11372765153646469,-0.0634775310754776,-0.054480988532304764,-0.08522681891918182,-0.0026105165015906096,-0.0065226927399635315,0.04277683049440384,-0.01840202696621418,0.13900858163833618,0.26700095732905743,0.1607353389263153,0.3087326614236964,0.08522681891918182,0.16369954986474128,0.02753523737192154,0.05288835158187351,-0.00855998694896698,-0.0955209881067276,0.004042567685246468,0.1081235408782959,0.20767846548799604
