dataset,split,mode,quantile,n_samples,sigma_range,mean_sigma,mean_mae
Split_B,B2,Mreduced,Q1,150,"[0.0000, 0.0055]",0.003761375160024536,0.01598977712122723
Split_B,B2,Mreduced,Q2,149,"[0.0055, 0.0088]",0.007085281721044746,0.030184450476811637
Split_B,B2,Mreduced,Q3,149,"[0.0088, 0.0150]",0.011442327080411908,0.058312795018689745
Split_B,B2,Mreduced,Q4,150,"[0.0150, 0.0427]",0.02178460823010879,0.0844670279175043
Split_B,B2,Mthermo,Q1,150,"[0.0000, 0.0072]",0.004941035707842406,0.024502790898239857
Split_B,B2,Mthermo,Q2,149,"[0.0072, 0.0094]",0.008295271412819218,0.04236379983341134
Split_B,B2,Mthermo,Q3,149,"[0.0094, 0.0124]",0.01077244789569415,0.05084743763651424
Split_B,B2,Mthermo,Q4,150,"[0.0124, 0.0280]",0.016595551838052554,0.08155747507015865
M1_LORO,ALL_12_REFRIGERANTS,M0,Q1,351,"[0.0000, 0.0201]",0.011429097839767343,0.08476633939950427
M1_LORO,ALL_12_REFRIGERANTS,M0,Q2,350,"[0.0201, 0.0406]",0.0296790007591638,0.1190991635274009
M1_LORO,ALL_12_REFRIGERANTS,M0,Q3,351,"[0.0406, 0.0760]",0.056582083139767786,0.08623903893568473
M1_LORO,ALL_12_REFRIGERANTS,M0,Q4,351,"[0.0760, 0.3338]",0.13131251263578686,0.11011332829119347
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,Q1,351,"[0.0006, 0.0169]",0.01161115240571862,0.036997009240398636
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,Q2,350,"[0.0169, 0.0266]",0.021636696693082717,0.06808057676747974
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,Q3,351,"[0.0266, 0.0390]",0.032253458715844084,0.08513432143553243
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,Q4,351,"[0.0390, 0.1387]",0.058811500886362875,0.09785960163003063
